NAME,the_geom,TEL,URL,ADDRESS1,CITY,ZIP,GRADING
Under Minerva,POINT (-73.99264059463559 40.66242444886783),(718) 788-0170,http://blog.underminerva.com/,656 5th Ave,Brooklyn,11215,9.7
Pierogi 2000,POINT (-73.95578160004416 40.718750345970065),(718) 599-2144,http://www.pierogi2000.com/,177 N 9th St,Brooklyn,11211,9.5
Parker's Box,POINT (-73.9604447082016 40.714309158269266),(718) 388-2882,http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf,193 Grand St,Brooklyn,11211,8.2
Plaster Palace,POINT (-73.98315035383828 40.62575957274058),(718) 621-3175,http://www.merchantcircle.com/business/Plaster.Palace.718-621-3175,5305 18th Ave,Brooklyn,11204,8.1
Polizzi Fine Art,POINT (-74.02860202478092 40.628876223412206),(718) 680-6777,http://www.polizzifineart.com/,7813 3rd Ave,Brooklyn,11209,7.9
Portrait Gallery,POINT (-73.92228135415756 40.60993574125617),(718) 377-8762,http://brooklyn.ny.povo.com/Portrait_Gallery_%28Kings_Highway%29,5100 Kings Plz,Brooklyn,11234,7.7
Picture This Corporate Art,POINT (-73.99260350161633 40.68324193641588),(718) 625-2722,http://www.ptcanyc.com/,249 Smith Street,Brooklyn,11231,7.5
Pytlak Art Studio,POINT (-73.94988527250548 40.71427612774082),(718) 599-1265,http://www.anitapytlak.net/uk/index.html,573 Metropolitan Ave,Brooklyn,11211,7.2
Raphael Fodde Editions,POINT (-73.98997735599107 40.70208740023595),(718) 624-6048,http://www.yelp.com/biz/raphael-fodde-editions-brooklyn,70 WASHINGTON ST,Brooklyn,11201,6.7
Regina's Art Center,POINT (-74.00172859190214 40.603379984260826),(718) 837-5807,http://www.reginasartcenter.com/contact.html,1921 Benson Ave,Brooklyn,11214,6.4
Winter Works On Paper,POINT (-73.95596898652045 40.718843857404806),(718) 599-0910,http://www.winterworksonpaper.com/about.htm,167 North 9th Street,Brooklyn,11211,6.2
Doug Meyer Fine Art,POINT (-73.9369317584929 40.612782716099275),(718) 375-8006,http://fineartamerica.com/profiles/doug-meyer-fine-art.html,1775 E 34th St,Brooklyn,11234,6.1
Belanthi,POINT (-73.9929238023326 40.689201818871105),(718) 624-9420,http://yp.blogflux.com/directory/us/new-york/brooklyn/belanthi-142-court-st/,142 Court St,Brooklyn,11201,6.1
Available Art Llc,POINT (-73.98529286493043 40.685308792518455),(917) 237-1668,http://www.nyc.com/arts__attractions/available_art_llc.905/map_location.aspx,204 Dean St,Brooklyn,11217,6.1
2 Welancora Gallery,POINT (-73.94151974328003 40.68407789876472),(718) 919-0344,http://www.welancora.com/,410 Jefferson Ave,Brooklyn,11221,6.1
Urban Architecture Gallery of Applied Arts Inc,POINT (-73.95568290353586 40.73872000117206),(718) 349-3837,http://www.urbanarchitecture.us/,1205 Manhattan Ave,Brooklyn,11222,6.1
Amos Eno Gallery,POINT (-73.98909223945212 40.702839860367),(718) 237-3001,http://www.amoseno.org/,111 Front Street,Brooklyn,11201,6.0
Bench Dogs,POINT (-73.96628257552109 40.710321511428695),(718) 486-7338,http://yp.blogflux.com/directory/us/new-york/brooklyn/bench-dogs-60-broadway/,60 Broadway,Brooklyn,11211,6.0
Axelle Fine Art,POINT (-73.98851197926002 40.68807777539699),(718) 246-1800,http://www.axelle.com/,312 Atlantic Ave,Brooklyn,11201,6.0
Art Vue,POINT (-73.9800983571645 40.671529522114525),(212) 995-2008,http://www.artvue.com/,441 3rd St,Brooklyn,11215,5.9
Hanover Sq Gallery,POINT (-73.97128381308526 40.676988341293075),(212) 344-4406,http://www.artnet.com/gallery/116829/hanover-square-gallery.html,202 Park Place,Brooklyn,11238,5.8
Back To Roots Inc,POINT (-73.87589510879744 40.667315043315995),(718) 649-3297,http://www.merchantcircle.com/business/Back.to.Roots.Inc.718-649-3297,440 Montauk Ave,Brooklyn,11208,5.8
Artefina International Inc,POINT (-73.97523365982514 40.596547373158224),(718) 946-7948,http://www.nyc.com/arts__attractions/artefina_international_inc.1933/whats_nearby.aspx,246 Avenue U,Brooklyn,11223,5.8
DUMBO Arts Center,POINT (-73.98981274885115 40.703473199556065),(718) 694-0831,http://www.dumboartscenter.org/,30 Washington St,Brooklyn,11201,5.8
